Target Return,Iteration,OOS Mean,OOS Variance
0.005000,1,0.007313,0.000229
0.005000,2,0.006245,0.000078
0.005000,3,0.006482,0.000135
0.005000,4,-0.001030,0.000121
0.005000,5,0.004972,0.000054
0.005000,6,-0.000367,0.000115
0.005000,7,0.011865,0.000123
0.005000,8,0.008763,0.000108
0.005000,9,-0.002589,0.001035
0.005000,10,0.005796,0.000323
0.005000,11,0.007304,0.000137
0.005000,12,0.004010,0.000334
0.005000,13,0.001345,0.000144
0.005000,14,-0.000540,0.000524
0.005000,15,0.003675,0.000383
0.005000,16,-0.006784,0.000748
0.005000,17,-0.001429,0.000307
0.005000,18,-0.002577,0.000324
0.005000,19,-0.001059,0.000592
0.005000,20,0.016062,0.004456
0.005000,21,-0.018103,0.000951
0.005000,22,0.000178,0.001136
0.005000,23,0.003427,0.000303
0.005000,24,0.005459,0.000334
0.005000,25,-0.002892,0.000263
0.005000,26,0.001212,0.000374
0.005000,27,0.004303,0.000341
0.005000,28,0.003646,0.000086
0.005000,29,0.002618,0.000219
0.005000,30,0.002586,0.000160
0.005000,31,0.001211,0.000172
0.005000,32,0.003222,0.000695
0.005000,33,-0.000494,0.000297
0.005000,34,0.001344,0.000346
0.005000,35,0.005706,0.000180
0.005000,36,0.002481,0.000227
0.005000,37,-0.000191,0.000170
0.005000,38,0.010043,0.000218
0.005000,39,0.004332,0.000242
0.005000,40,-0.000337,0.000648
0.005000,41,0.003775,0.000148
0.005000,42,0.000626,0.000119
0.005000,43,0.003510,0.000322
0.005000,44,0.000971,0.000119
0.005000,45,-0.003222,0.000267
0.005000,46,0.009705,0.000791
0.005000,47,0.001238,0.000246
0.005000,48,0.000505,0.000496
0.005000,49,0.001088,0.001331
0.005000,50,0.010672,0.000564
0.010000,1,0.009935,0.000483
0.010000,2,0.009612,0.000115
0.010000,3,0.003582,0.000222
0.010000,4,-0.001571,0.000250
0.010000,5,0.007469,0.000077
0.010000,6,0.003319,0.000259
0.010000,7,0.014932,0.000165
0.010000,8,0.012694,0.000319
